anonymous_applicant_id,full_probability,full_decision,fixed_probability,fixed_decision,oracle_probability,oracle_decision,fixed_disagreement,oracle_disagreement,fixed_early_stop,oracle_early_stop,fixed_optional_units,oracle_optional_units,fixed_path,oracle_path
HC_HELDOUT_0000010,0.0223670158406026,Approve,0.0217964080257302,Approve,0.0217964080257302,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000011,0.1248637394288034,Reject,0.1451595021207435,Reject,0.1248637394288034,Reject,False,False,True,False,3.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE,BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000012,0.0510200888801861,Approve,0.0510200888801861,Approve,0.0510200888801861,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE
HC_HELDOUT_0000013,0.1079164852401855,Reject,0.1079164852401855,Reject,0.1079164852401855,Reject,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000014,0.0780467517358772,Approve,0.0780467517358772,Approve,0.0780467517358772,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE
HC_HELDOUT_0000015,0.0693492263726657,Approve,0.0324120745557281,Approve,0.0324120745557281,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000016,0.0717251680463597,Approve,0.0717251680463597,Approve,0.0717251680463597,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000017,0.0418056395987719,Approve,0.0418056395987719,Approve,0.0418056395987719,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE
HC_HELDOUT_0000018,0.0610881277992857,Approve,0.0610881277992857,Approve,0.0610881277992857,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE
HC_HELDOUT_0000019,0.026628275029765,Approve,0.0360865164581387,Approve,0.0286279011572886,Approve,False,False,True,True,3.0,1.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE,BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE
HC_HELDOUT_0000020,0.1054650950472696,Reject,0.1393377392810322,Reject,0.1393377392810322,Reject,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000021,0.0166751647713595,Approve,0.0249648504720924,Approve,0.0249648504720924,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000022,0.0628660622315109,Approve,0.0628660622315109,Approve,0.0628660622315109,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE
HC_HELDOUT_0000023,0.0377589524651878,Approve,0.0346308971815453,Approve,0.0349825003608749,Approve,False,False,True,True,3.0,2.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE,BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE
HC_HELDOUT_0000024,0.1305165202637087,Reject,0.1305165202637087,Reject,0.1388570755883891,Reject,False,False,False,True,5.0,2.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000025,0.0478997243670891,Approve,0.0478997243670891,Approve,0.0478997243670891,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE
HC_HELDOUT_0000026,0.1712649231805019,Reject,0.1926255684449422,Reject,0.1926255684449422,Reject,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000027,0.0218269702722729,Approve,0.0368250491701399,Approve,0.0335248081794817,Approve,False,False,True,True,1.0,1.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE,BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000028,0.0692516278391037,Approve,0.0692516278391037,Approve,0.0692516278391037,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE
HC_HELDOUT_0000029,0.0699009666775206,Approve,0.0699009666775206,Approve,0.0699009666775206,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE
HC_HELDOUT_0000030,0.0121918464247247,Approve,0.0221523056281037,Approve,0.0221523056281037,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000031,0.0492473404513263,Approve,0.0492473404513263,Approve,0.0492473404513263,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE
HC_HELDOUT_0000032,0.1437628093816246,Reject,0.2033139114168669,Reject,0.2033139114168669,Reject,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000033,0.0176673568279606,Approve,0.0219555096396252,Approve,0.0219555096396252,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000034,0.0656439708161165,Approve,0.0656439708161165,Approve,0.0656439708161165,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000035,0.041851139764442,Approve,0.041851139764442,Approve,0.0336218965243799,Approve,False,False,False,True,5.0,4.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000036,0.3168669290089219,Reject,0.2174337144707414,Reject,0.2174337144707414,Reject,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000037,0.0504718109272263,Approve,0.0504718109272263,Approve,0.0504718109272263,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE
HC_HELDOUT_0000038,0.0681120390404337,Approve,0.0681120390404337,Approve,0.0681120390404337,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000039,0.0385255791988387,Approve,0.0370275501895584,Approve,0.0363322194172676,Approve,False,False,True,True,2.0,2.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE,REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE
HC_HELDOUT_0000040,0.0793681919801181,Approve,0.0793681919801181,Approve,0.0793681919801181,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE
HC_HELDOUT_0000041,0.0318233683668834,Approve,0.0273620482862871,Approve,0.0273620482862871,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000042,0.0334890898437621,Approve,0.0231274425773934,Approve,0.0231274425773934,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000043,0.0503448692000612,Approve,0.0503448692000612,Approve,0.0503448692000612,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE
HC_HELDOUT_0000044,0.0134891777888889,Approve,0.0273620482862871,Approve,0.0273620482862871,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000045,0.0901501726610505,Reject,0.0901501726610505,Reject,0.0901501726610505,Reject,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE
HC_HELDOUT_0000046,0.0667998205785628,Approve,0.0667998205785628,Approve,0.0667998205785628,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE
HC_HELDOUT_0000047,0.0302362680799628,Approve,0.0226647910922862,Approve,0.0226647910922862,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000048,0.0665691068795976,Approve,0.0665691068795976,Approve,0.0665691068795976,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE
HC_HELDOUT_0000049,0.0229349563123524,Approve,0.0336438131735033,Approve,0.0336438131735033,Approve,False,False,True,True,1.0,1.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE
HC_HELDOUT_0000050,0.0149191036384283,Approve,0.0199745794178899,Approve,0.0199745794178899,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000051,0.0239178933820369,Approve,0.0287823225227986,Approve,0.0287823225227986,Approve,False,False,True,True,0.0,0.0,,
HC_HELDOUT_0000052,0.0423987865363577,Approve,0.0423987865363577,Approve,0.0423987865363577,Approve,False,False,False,False,5.0,5.0,REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE,BUREAU_CREDIT_HISTORY_QUALITY_EVIDENCE;REPAYMENT_PERFORMANCE_QUALITY_EVIDENCE;REPAYMENT_PRIOR_CREDIT_EXPERIENCE_EVIDENCE;BUREAU_ACTIVE_CREDIT_CAPACITY_EVIDENCE;BUREAU_RECENT_CREDIT_ACTIVITY_EVIDENCE
